timestamp,rows,time_taken,energy_consumption,previous_temp,previous_humi,current_temp,current_humi,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode,FC_Unit_7_Status,FC_Unit_7_Fan_Status,FC_Unit_7_Set_Point,FC_Unit_7_Operation_Mode,FC_Unit_8_Status,FC_Unit_8_Fan_Status,FC_Unit_8_Set_Point,FC_Unit_8_Operation_Mode
1734353594,"[3505, 3506, 3507, 3508]","[np.int64(336), np.int64(630), np.int64(1000), np.int64(1326)]","[np.float64(0.8999999999996362), np.float64(1.5799899999997251), np.float64(2.3399899999999434), np.float64(3.1399999999998727)]","[np.float64(27.533), np.float64(27.157), np.float64(26.95), np.float64(26.567)]","[np.float64(69.286), np.float64(68.188), np.float64(67.143), np.float64(65.214)]",27.9,71.5,ON,VERY LOW,22.8,COOL,OFF,OFF,19.0,COOL,ON,VERY LOW,23.4,COOL,OFF,OFF,23.3,DRY,ON,VERY LOW,22.8,COOL,OFF,OFF,23.2,COOL,ON,MID,23.0,COOL,OFF,OFF,23.2,DRY
1734888461,"[5256, 5257, 5258, 5259, 5260, 5261, 5262, 5263, 5264, 5265]","[np.int64(275), np.int64(660), np.int64(935), np.int64(1332), np.int64(1594), np.int64(1987), np.int64(2254), np.int64(2622), np.int64(2971), np.int64(3302)]","[np.float64(1.0), np.float64(1.0), np.float64(1.0100000000000193), np.float64(1.0100000000000193), np.float64(1.0200000000000102), np.float64(1.0200000000000102), np.float64(1.0200000000000102), np.float64(1.0200000000000102), np.float64(1.0200000000000102), np.float64(0.030000000000001137)]","[np.float64(27.886), np.float64(27.9), np.float64(27.9), np.float64(27.883), np.float64(27.883), np.float64(27.9), np.float64(27.886), np.float64(27.871), np.float64(27.917), np.float64(27.886)]","[np.float64(70.125), np.float64(70.071), np.float64(70.438), np.float64(70.143), np.float64(70.714), np.float64(70.214), np.float64(70.562), np.float64(70.562), np.float64(70.214), np.float64(70.562)]",27.9,69.786,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734887746,"[5254, 5255, 5256, 5257, 5258, 5259, 5260, 5261, 5262, 5263]","[np.int64(337), np.int64(715), np.int64(990), np.int64(1375), np.int64(1650), np.int64(2047), np.int64(2309), np.int64(2702), np.int64(2969), np.int64(3337)]","[np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(1.0), np.float64(1.0100000000000193), np.float64(1.0100000000000193), np.float64(1.0200000000000102), np.float64(1.0200000000000102), np.float64(1.0200000000000102), np.float64(1.0200000000000102)]","[np.float64(27.871), np.float64(27.9), np.float64(27.886), np.float64(27.9), np.float64(27.9), np.float64(27.883), np.float64(27.883), np.float64(27.9), np.float64(27.886), np.float64(27.871)]","[np.float64(70.188), np.float64(69.786), np.float64(70.125), np.float64(70.071), np.float64(70.438), np.float64(70.143), np.float64(70.714), np.float64(70.214), np.float64(70.562), np.float64(70.562)]",27.886,70.0,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734888736,"[5257, 5258, 5259, 5260, 5261, 5262, 5263, 5264]","[np.int64(385), np.int64(660), np.int64(1057), np.int64(1319), np.int64(1712), np.int64(1979), np.int64(2347), np.int64(2696)]","[np.float64(0.0), np.float64(0.010000000000019327), np.float64(0.010000000000019327), np.float64(0.020000000000010232), np.float64(0.020000000000010232), np.float64(0.020000000000010232), np.float64(0.020000000000010232), np.float64(0.020000000000010232)]","[np.float64(27.9), np.float64(27.9), np.float64(27.883), np.float64(27.883), np.float64(27.9), np.float64(27.886), np.float64(27.871), np.float64(27.917)]","[np.float64(70.071), np.float64(70.438), np.float64(70.143), np.float64(70.714), np.float64(70.214), np.float64(70.562), np.float64(70.562), np.float64(70.214)]",27.886,70.125,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734891763,"[5266, 5267, 5268, 5269, 5270, 5271, 5272, 5273, 5274, 5275]","[np.int64(328), np.int64(604), np.int64(988), np.int64(1263), np.int64(1651), np.int64(1922), np.int64(2318), np.int64(2634), np.int64(2915), np.int64(3300)]","[np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(0.009999999999990905), np.float64(1.009999999999991), np.float64(1.009999999999991), np.float64(0.009999999999990905), np.float64(1.0199999999999818), np.float64(0.01999999999998181), np.float64(1.0199999999999818)]","[np.float64(27.917), np.float64(27.883), np.float64(27.917), np.float64(27.9), np.float64(27.917), np.float64(27.871), np.float64(27.883), np.float64(27.883), np.float64(27.857), np.float64(27.883)]","[np.float64(70.214), np.float64(70.714), np.float64(70.214), np.float64(70.688), np.float64(70.5), np.float64(70.875), np.float64(70.5), np.float64(70.5), np.float64(70.875), np.float64(71.214)]",27.886,70.562,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734890715,"[5263, 5264]","[np.int64(368), np.int64(717)]","[np.float64(0.0), np.float64(0.0)]","[np.float64(27.871), np.float64(27.917)]","[np.float64(70.562), np.float64(70.214)]",27.886,70.562,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734889793,"[5260, 5261, 5262, 5263, 5264]","[np.int64(262), np.int64(655), np.int64(922), np.int64(1290), np.int64(1639)]","[np.float64(0.009999999999990905), np.float64(0.009999999999990905), np.float64(0.009999999999990905), np.float64(0.009999999999990905), np.float64(0.009999999999990905)]","[np.float64(27.883), np.float64(27.9), np.float64(27.886), np.float64(27.871), np.float64(27.917)]","[np.float64(70.714), np.float64(70.214), np.float64(70.562), np.float64(70.562), np.float64(70.214)]",27.883,70.143,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734890055,"[5261, 5262, 5263, 5264]","[np.int64(393), np.int64(660), np.int64(1028), np.int64(1377)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(27.9), np.float64(27.886), np.float64(27.871), np.float64(27.917)]","[np.float64(70.214), np.float64(70.562), np.float64(70.562), np.float64(70.214)]",27.883,70.714,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734894397,[],[],[],[],[],27.883,70.5,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734894081,"[5273, 5274, 5275, 5276, 5277, 5278, 5279, 5280, 5281, 5282]","[np.int64(316), np.int64(597), np.int64(982), np.int64(1309), np.int64(1647), np.int64(1915), np.int64(2305), np.int64(2574), np.int64(2963), np.int64(3233)]","[np.float64(1.009999999999991), np.float64(0.009999999999990905), np.float64(1.009999999999991), np.float64(0.009999999999990905), np.float64(0.019990000000007058), np.float64(0.019990000000007058), np.float64(1.019990000000007), np.float64(0.019990000000007058), np.float64(1.029989999999998), np.float64(1.029989999999998)]","[np.float64(27.883), np.float64(27.857), np.float64(27.883), np.float64(27.857), np.float64(27.867), np.float64(27.857), np.float64(27.85), np.float64(27.829), np.float64(27.85), np.float64(27.829)]","[np.float64(70.5), np.float64(70.875), np.float64(71.214), np.float64(71.5), np.float64(71.286), np.float64(71.812), np.float64(71.643), np.float64(71.875), np.float64(71.714), np.float64(72.0)]",27.883,70.5,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
