timestamp,rows,time_taken,energy_consumption,future_temp,future_humi,current_temp,current_humi,door_status,outdoor_temp,outdoor_humi,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode
1735919308,"[3709, 3710, 3711, 3712, 3713, 3714, 3715, 3716]","[np.int64(629), np.int64(1257), np.int64(1434), np.int64(1886), np.int64(2514), np.int64(3143), np.int64(3193), np.int64(3772)]","[np.float64(0.8800000000001091), np.float64(1.75), np.float64(1.75), np.float64(2.630000000000109), np.float64(3.610000000000582), np.float64(4.5), np.float64(4.5), np.float64(5.380000000001019)]","[np.float64(25.05), np.float64(24.883), np.float64(24.883), np.float64(24.933), np.float64(24.817), np.float64(24.65), np.float64(24.65), np.float64(24.567)]","[np.float64(52.714), np.float64(53.5), np.float64(53.5), np.float64(56.214), np.float64(56.214), np.float64(55.714), np.float64(55.714), np.float64(55.214)]",25.333,54.857,1.0,29.5,81.0,OFF,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,22.0,COOL,OFF,LOW,22.0,COOL
1736361861,"[4416, 4417]","[np.int64(629), np.int64(1258)]","[np.float64(1.3599999999996726), np.float64(2.550000000000182)]","[np.float64(25.1), np.float64(24.95)]","[np.float64(60.429), np.float64(57.357)]",25.283,60.357,1.0,31.3,64.0,OFF,QUIET,22.5,COOL,OFF,QUIET,22.5,COOL,ON,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
1736432262,"[4528, 4529, 4530]","[np.int64(628), np.int64(1257), np.int64(1885)]","[np.float64(0.7800000000006548), np.float64(1.5599999999994907), np.float64(2.3299999999999272)]","[np.float64(25.167), np.float64(25.167), np.float64(25.2)]","[np.float64(52.786), np.float64(52.5), np.float64(52.071)]",25.2,53.0,1.0,34.9,46.5,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
1736434147,[],[],[],[],[],25.2,52.071,1.0,34.9,46.5,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
1736433519,[4530],[np.int64(628)],[np.float64(0.7700000000004366)],[np.float64(25.2)],[np.float64(52.071)],25.167,52.5,1.0,34.9,46.5,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
1736432890,"[4529, 4530]","[np.int64(629), np.int64(1257)]","[np.float64(0.7799999999988358), np.float64(1.5499999999992724)]","[np.float64(25.167), np.float64(25.2)]","[np.float64(52.5), np.float64(52.071)]",25.167,52.786,1.0,34.9,46.5,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
1735975249,"[3800, 3801, 3802, 3803, 3804, 3805]","[np.int64(628), np.int64(1257), np.int64(1885), np.int64(2514), np.int64(3142), np.int64(3771)]","[np.float64(1.0500000000010914), np.float64(1.9000000000005457), np.float64(2.6500000000005457), np.float64(3.430000000000291), np.float64(4.140000000001237), np.float64(4.910000000000764)]","[np.float64(23.85), np.float64(23.517), np.float64(23.333), np.float64(23.15), np.float64(23.083), np.float64(23.183)]","[np.float64(67.929), np.float64(67.357), np.float64(67.0), np.float64(68.0), np.float64(67.214), np.float64(70.929)]",25.117,67.929,1.0,26.6,87.5,ON,HIGH,21.5,COOL,ON,AUTO,22.0,DRY,ON,HIGH,21.5,COOL,ON,AUTO,22.0,DRY,ON,HIGH,22.0,COOL,ON,LOW,22.0,COOL
1736431634,"[4527, 4528, 4529, 4530]","[np.int64(628), np.int64(1256), np.int64(1885), np.int64(2513)]","[np.float64(0.6900000000005093), np.float64(1.4700000000011642), np.float64(2.25), np.float64(3.0200000000004366)]","[np.float64(25.2), np.float64(25.167), np.float64(25.167), np.float64(25.2)]","[np.float64(53.0), np.float64(52.786), np.float64(52.5), np.float64(52.071)]",25.1,54.071,1.0,34.9,46.5,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
1736362490,[4417],[np.int64(629)],[np.float64(1.1900000000005093)],[np.float64(24.95)],[np.float64(57.357)],25.1,60.429,1.0,31.3,64.0,OFF,QUIET,22.5,COOL,OFF,QUIET,22.5,COOL,ON,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
1736444833,"[4548, 4549, 4550, 4551, 4552, 4553]","[np.int64(629), np.int64(1258), np.int64(1886), np.int64(2515), np.int64(3144), np.int64(3772)]","[np.float64(1.0900000000001455), np.float64(2.130000000000109), np.float64(3.1099999999996726), np.float64(4.200000000000728), np.float64(5.330000000000837), np.float64(6.430000000000291)]","[np.float64(24.383), np.float64(24.2), np.float64(24.267), np.float64(24.267), np.float64(23.967), np.float64(23.933)]","[np.float64(58.071), np.float64(59.929), np.float64(59.286), np.float64(60.286), np.float64(60.643), np.float64(61.0)]",25.067,57.429,1.0,31.6,58.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
