timestamp,rows,time_taken,energy_consumption,future_temp,future_humi,current_temp,current_humi,weather_status,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode,FC_Unit_7_Status,FC_Unit_7_Fan_Status,FC_Unit_7_Set_Point,FC_Unit_7_Operation_Mode,FC_Unit_8_Status,FC_Unit_8_Fan_Status,FC_Unit_8_Set_Point,FC_Unit_8_Operation_Mode
1735212908,[],[],[],[],[],23.05,57.833,Clouds,ON,MID,23.4,COOL,ON,MID,22.8,COOL,ON,MID,22.9,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.0,COOL
1736360783,[],[],[],[],[],23.05,56.278,Clouds,ON,VERY HIGH,23.2,COOL,ON,VERY HIGH,22.7,COOL,ON,VERY LOW,23.4,COOL,ON,VERY HIGH,23.3,COOL,ON,VERY HIGH,26.0,COOL,ON,MID,22.7,COOL,OFF,OFF,23.0,COOL,ON,VERY LOW,25.0,COOL
1736185739,[],[],[],[],[],23.05,59.444,Clouds,ON,VERY HIGH,22.9,COOL,ON,VERY HIGH,25.0,COOL,ON,MID,23.3,COOL,ON,VERY HIGH,22.9,COOL,ON,VERY HIGH,22.9,COOL,ON,VERY HIGH,22.7,COOL,ON,VERY HIGH,22.6,COOL,ON,VERY HIGH,25.0,COOL
1736358866,[],[],[],[],[],23.05,58.556,Clouds,ON,VERY HIGH,23.2,COOL,ON,VERY HIGH,22.7,COOL,ON,VERY LOW,23.4,COOL,ON,VERY HIGH,23.3,COOL,ON,VERY HIGH,26.0,COOL,ON,MID,22.7,COOL,OFF,OFF,23.0,COOL,ON,VERY LOW,25.0,COOL
1735214282,[],[],[],[],[],23.043,58.5,Clouds,ON,MID,23.4,COOL,ON,MID,22.8,COOL,ON,MID,22.9,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.0,COOL
1735216266,[],[],[],[],[],23.043,60.25,Clouds,ON,MID,23.4,COOL,ON,MID,22.8,COOL,ON,MID,22.9,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.0,COOL
1735221540,[],[],[],[],[],23.043,60.562,Clouds,ON,MID,23.4,COOL,ON,MID,22.8,COOL,ON,MID,22.9,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.0,COOL
1736419740,[],[],[],[],[],23.038,64.722,Clouds,ON,VERY HIGH,23.2,COOL,ON,VERY HIGH,22.7,COOL,ON,VERY LOW,23.4,COOL,ON,VERY HIGH,23.3,COOL,ON,VERY HIGH,26.0,COOL,ON,MID,22.7,COOL,ON,VERY LOW,23.0,COOL,ON,VERY LOW,25.0,COOL
1735222478,[],[],[],[],[],23.038,59.611,Clouds,ON,MID,23.4,COOL,ON,MID,22.8,COOL,ON,MID,22.9,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.0,COOL
1735221200,[],[],[],[],[],23.038,61.167,Clouds,ON,MID,23.4,COOL,ON,MID,22.8,COOL,ON,MID,22.9,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.0,COOL
1736185100,[],[],[],[],[],23.038,59.111,Clouds,ON,VERY HIGH,22.9,COOL,ON,VERY HIGH,25.0,COOL,ON,MID,23.3,COOL,ON,VERY HIGH,22.9,COOL,ON,VERY HIGH,22.9,COOL,ON,VERY HIGH,22.7,COOL,ON,VERY HIGH,22.6,COOL,ON,VERY HIGH,25.0,COOL
1735225835,[],[],[],[],[],23.029,61.125,Clouds,ON,MID,23.4,COOL,ON,MID,22.8,COOL,ON,MID,22.9,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.0,COOL
1736418462,[],[],[],[],[],23.025,64.167,Clouds,ON,VERY HIGH,23.2,COOL,ON,VERY HIGH,22.7,COOL,ON,VERY LOW,23.4,COOL,ON,VERY HIGH,23.3,COOL,ON,VERY HIGH,26.0,COOL,ON,MID,22.7,COOL,ON,VERY LOW,23.0,COOL,ON,VERY LOW,25.0,COOL
1736356949,[],[],[],[],[],23.025,58.278,Clouds,ON,VERY HIGH,23.2,COOL,ON,VERY HIGH,22.7,COOL,ON,VERY LOW,23.4,COOL,ON,VERY HIGH,23.3,COOL,ON,VERY HIGH,26.0,COOL,ON,MID,22.7,COOL,OFF,OFF,23.0,COOL,ON,VERY LOW,25.0,COOL
1737135015,[],[],[],[],[],23.025,69.278,Clouds,ON,MID,23.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY HIGH,23.4,COOL,ON,VERY HIGH,23.3,COOL,ON,VERY LOW,25.0,COOL,ON,MID,25.0,COOL,ON,MID,23.0,COOL,ON,VERY HIGH,23.0,COOL
1735830363,[],[],[],[],[],23.014,58.312,Clouds,ON,MID,22.6,COOL,ON,VERY HIGH,22.9,DRY,ON,MID,23.3,COOL,ON,VERY LOW,22.6,COOL,ON,HIGH,22.6,COOL,ON,VERY LOW,22.8,DRY,ON,VERY LOW,22.7,COOL,ON,MID,23.2,COOL
1737139442,[],[],[],[],[],23.014,70.125,Clouds,ON,MID,23.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY HIGH,23.4,COOL,ON,VERY HIGH,23.3,COOL,ON,VERY LOW,25.0,COOL,ON,MID,25.0,COOL,ON,MID,23.0,COOL,ON,VERY HIGH,23.0,COOL
1735218574,[],[],[],[],[],23.014,61.312,Clouds,ON,MID,23.4,COOL,ON,MID,22.8,COOL,ON,MID,22.9,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.0,COOL
1736187016,[],[],[],[],[],23.013,57.556,Clouds,ON,VERY HIGH,22.9,COOL,ON,VERY HIGH,25.0,COOL,ON,MID,23.3,COOL,ON,VERY HIGH,22.9,COOL,ON,VERY HIGH,22.9,COOL,ON,VERY HIGH,22.7,COOL,ON,VERY HIGH,22.6,COOL,ON,VERY HIGH,25.0,COOL
1736442310,[],[],[],[],[],23.013,59.167,Clouds,ON,VERY HIGH,20.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.4,COOL,ON,VERY HIGH,23.3,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,19.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,18.0,COOL
1735843279,[],[],[],[],[],23.013,57.278,Clouds,ON,MID,22.6,COOL,ON,VERY HIGH,23.1,DRY,ON,MID,23.3,COOL,ON,VERY LOW,22.6,DRY,ON,HIGH,22.6,COOL,ON,VERY LOW,22.8,DRY,ON,MID,23.1,COOL,ON,MID,22.6,COOL
